name	year	rating
0	The Shawshank Redemption	1994	9.2
1	The Godfather	1972	9.1
2	The Godfather: Part II	1974	9.0
3	The Dark Knight	2008	9.0
4	12 Angry Men	1957	8.9
5	Schindler's List	1993	8.9
6	The Lord of the Rings: The Return of the King	2003	8.9
7	Pulp Fiction	1994	8.8
8	The Good, the Bad and the Ugly	1966	8.8
9	The Lord of the Rings: The Fellowship of the Ring	2001	8.8
10	Fight Club	1999	8.8
11	Forrest Gump	1994	8.7
12	Inception	2010	8.7
13	The Lord of the Rings: The Two Towers	2002	8.7
14	Star Wars: Episode V - The Empire Strikes Back	1980	8.7
15	The Matrix	1999	8.6
16	Goodfellas	1990	8.6
17	One Flew Over the Cuckoo's Nest	1975	8.6
18	Seven Samurai	1954	8.6
19	Se7en	1995	8.6
20	The Silence of the Lambs	1991	8.6
21	City of God	2002	8.6
22	It's a Wonderful Life	1946	8.6
23	Life Is Beautiful	1997	8.6
24	Star Wars: Episode IV - A New Hope	1977	8.6
25	Saving Private Ryan	1998	8.5
26	Spirited Away	2001	8.5
27	Interstellar	2014	8.5
28	The Green Mile	1999	8.5
29	Parasite	2019	8.5
30	Léon: The Professional	1994	8.5
31	Hara-Kiri	1962	8.5
32	The Usual Suspects	1995	8.5
33	The Pianist	2002	8.5
34	Back to the Future	1985	8.5
35	Terminator 2: Judgment Day	1991	8.5
36	Psycho	1960	8.5
37	Modern Times	1936	8.5
38	The Lion King	1994	8.5
39	American History X	1998	8.5
40	City Lights	1931	8.5
41	Gladiator	2000	8.5
42	Whiplash	2014	8.5
43	The Departed	2006	8.5
44	Grave of the Fireflies	1988	8.5
45	The Intouchables	2011	8.5
46	The Prestige	2006	8.5
47	Casablanca	1942	8.4
48	Once Upon a Time in the West	1968	8.4
49	Rear Window	1954	8.4
50	Cinema Paradiso	1988	8.4
51	Alien	1979	8.4
52	Apocalypse Now	1979	8.4
53	Memento	2000	8.4
54	Indiana Jones and the Raiders of the Lost Ark	1981	8.4
55	The Great Dictator	1940	8.4
56	The Lives of Others	2006	8.4
57	Django Unchained	2012	8.4
58	Paths of Glory	1957	8.4
59	Sunset Blvd.	1950	8.4
60	WALL·E	2008	8.4
61	The Shining	1980	8.4
62	Witness for the Prosecution	1957	8.4
63	Avengers: Infinity War	2018	8.4
64	Joker	2019	8.4
65	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	8.4
66	Spider-Man: Into the Spider-Verse	2018	8.3
67	Oldboy	2003	8.3
68	Princess Mononoke	1997	8.3
69	Hamilton	2020	8.3
70	Once Upon a Time in America	1984	8.3
71	Your Name.	2016	8.3
72	The Dark Knight Rises	2012	8.3
73	Aliens	1986	8.3
74	Coco	2017	8.3
75	Pather Panchali	1955	8.3
76	Das Boot	1981	8.3
77	Capernaum	2018	8.3
78	Avengers: Endgame	2019	8.3
79	High and Low	1963	8.3
80	American Beauty	1999	8.3
81	Toy Story	1995	8.3
82	Braveheart	1995	8.3
83	Amadeus	1984	8.3
84	3 Idiots	2009	8.3
85	Inglourious Basterds	2009	8.3
86	Good Will Hunting	1997	8.3
87	Star Wars: Episode VI - Return of the Jedi	1983	8.3
88	2001: A Space Odyssey	1968	8.3
89	Reservoir Dogs	1992	8.3
90	M	1931	8.3
91	Like Stars on Earth	2007	8.3
92	Citizen Kane	1941	8.3
93	Vertigo	1958	8.3
94	Requiem for a Dream	2000	8.3
95	The Hunt	2012	8.3
96	Come and See	1985	8.3
97	Singin' in the Rain	1952	8.3
98	North by Northwest	1959	8.3
99	Eternal Sunshine of the Spotless Mind	2004	8.3
100	Bicycle Thieves	1948	8.3
101	Ikiru	1952	8.3
102	Lawrence of Arabia	1962	8.2
103	The Kid	1921	8.2
104	The Father	2020	8.2
105	Full Metal Jacket	1987	8.2
106	Dangal	2016	8.2
107	A Clockwork Orange	1971	8.2
108	Taxi Driver	1976	8.2
109	Metropolis	1927	8.2
110	The Sting	1973	8.2
111	Double Indemnity	1944	8.2
112	1917	2019	8.2
113	The Apartment	1960	8.2
114	Amélie	2001	8.2
115	A Separation	2011	8.2
116	Incendies	2010	8.2
117	Snatch	2000	8.2
118	Scarface	1983	8.2
119	Toy Story 3	2010	8.2
120	To Kill a Mockingbird	1962	8.2
121	For a Few Dollars More	1965	8.2
122	Up	2009	8.2
123	Indiana Jones and the Last Crusade	1989	8.2
124	L.A. Confidential	1997	8.2
125	Heat	1995	8.2
126	Rashomon	1950	8.2
127	Yojimbo	1961	8.2
128	Ran	1985	8.2
129	Die Hard	1988	8.2
130	Monty Python and the Holy Grail	1975	8.2
131	Green Book	2018	8.2
132	Downfall	2004	8.2
133	Batman Begins	2005	8.2
134	Some Like It Hot	1959	8.2
135	All About Eve	1950	8.2
136	Unforgiven	1992	8.2
137	Children of Heaven	1997	8.2
138	Howl's Moving Castle	2004	8.2
139	The Wolf of Wall Street	2013	8.2
140	The Great Escape	1963	8.2
141	Judgment at Nuremberg	1961	8.2
142	Casino	1995	8.2
143	Pan's Labyrinth	2006	8.2
144	The Treasure of the Sierra Madre	1948	8.2
145	There Will Be Blood	2007	8.1
146	A Beautiful Mind	2001	8.1
147	The Secret in Their Eyes	2009	8.1
148	Raging Bull	1980	8.1
149	My Neighbor Totoro	1988	8.1
150	Chinatown	1974	8.1
151	Lock, Stock and Two Smoking Barrels	1998	8.1
152	The Gold Rush	1925	8.1
153	Three Billboards Outside Ebbing, Missouri	2017	8.1
154	Dial M for Murder	1954	8.1
155	No Country for Old Men	2007	8.1
156	Shutter Island	2010	8.1
157	The Seventh Seal	1957	8.1
158	The Elephant Man	1980	8.1
159	The Thing	1982	8.1
160	The Sixth Sense	1999	8.1
161	Inside Out	2015	8.1
162	V for Vendetta	2005	8.1
163	The Third Man	1949	8.1
164	Klaus	2019	8.1
165	Blade Runner	1982	8.1
166	Wild Strawberries	1957	8.1
167	The Bridge on the River Kwai	1957	8.1
168	Trainspotting	1996	8.1
169	My Father and My Son	2005	8.1
170	The Truman Show	1998	8.1
171	Warrior	2011	8.1
172	Jurassic Park	1993	8.1
173	Fargo	1996	8.1
174	Memories of Murder	2003	8.1
175	Finding Nemo	2003	8.1
176	Gone with the Wind	1939	8.1
177	Tokyo Story	1953	8.1
178	Kill Bill: Vol. 1	2003	8.1
179	On the Waterfront	1954	8.1
180	Stalker	1979	8.1
181	The General	1926	8.1
182	The Deer Hunter	1978	8.1
183	Wild Tales	2014	8.1
184	Gran Torino	2008	8.1
185	Sherlock Jr.	1924	8.1
186	Room	2015	8.1
187	The Grand Budapest Hotel	2014	8.1
188	Before Sunrise	1995	8.1
189	Persona	1966	8.1
190	Mary and Max	2009	8.1
191	In the Name of the Father	1993	8.1
192	Prisoners	2013	8.1
193	Mr. Smith Goes to Washington	1939	8.1
194	Gone Girl	2014	8.1
195	Catch Me If You Can	2002	8.1
196	To Be or Not to Be	1942	8.1
197	Hacksaw Ridge	2016	8.1
198	Andhadhun	2018	8.1
199	Barry Lyndon	1975	8.1
200	The Big Lebowski	1998	8.1
201	Ford v Ferrari	2019	8.1
202	12 Years a Slave	2013	8.1
203	The Passion of Joan of Arc	1928	8.1
204	How to Train Your Dragon	2010	8.1
205	Mad Max: Fury Road	2015	8.1
206	The Wages of Fear	1953	8.1
207	Ben-Hur	1959	8.1
208	Million Dollar Baby	2004	8.1
209	Dead Poets Society	1989	8.1
210	Network	1976	8.1
211	Stand by Me	1986	8.1
212	Harry Potter and the Deathly Hallows: Part 2	2011	8.1
213	Autumn Sonata	1978	8.1
214	Cool Hand Luke	1967	8.1
215	The 400 Blows	1959	8.1
216	The Handmaiden	2016	8.1
217	The Bandit	1996	8.1
218	Logan	2017	8.0
219	Platoon	1986	8.0
220	Hachi: A Dog's Tale	2009	8.0
221	La Haine	1995	8.0
222	Monty Python's Life of Brian	1979	8.0
223	Spotlight	2015	8.0
224	Hotel Rwanda	2004	8.0
225	Into the Wild	2007	8.0
226	Rush	2013	8.0
227	Rebecca	1940	8.0
228	Andrei Rublev	1966	8.0
229	Monsters, Inc.	2001	8.0
230	Drishyam 2	2021	8.0
231	Amores Perros	2000	8.0
232	Raatchasan	2018	8.0
233	Rocky	1976	8.0
234	Gangs of Wasseypur	2012	8.0
235	In the Mood for Love	2000	8.0
236	A Silent Voice: The Movie	2016	8.0
237	It Happened One Night	1934	8.0
238	Nausicaä of the Valley of the Wind	1984	8.0
239	The Battle of Algiers	1966	8.0
240	Before Sunset	2004	8.0
241	Rififi	1955	8.0
242	Soul	2020	8.0
243	Fanny and Alexander	1982	8.0
244	Three Colors: Red	1994	8.0
245	The Princess Bride	1987	8.0
246	Sunrise	1927	8.0
247	Neon Genesis Evangelion: The End of Evangelion	1997	8.0
248	Drishyam	2013	8.0
249	Paris, Texas	1984	8.0
